Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,56,2,Some Random Commen with Id 0
1,1,2,182,1,Some Random Commen with Id 1
2,1,2,28,1,Some Random Commen with Id 2
3,1,2,42,4,Some Random Commen with Id 3
4,1,2,136,7,Some Random Commen with Id 4
5,1,2,62,4,Some Random Commen with Id 5
6,1,2,59,7,Some Random Commen with Id 6
7,2,4,22,9,Some Random Commen with Id 7
8,2,4,199,1,Some Random Commen with Id 8
9,2,4,162,4,Some Random Commen with Id 9
10,2,4,113,8,Some Random Commen with Id 10
11,2,4,86,6,Some Random Commen with Id 11
12,2,4,142,5,Some Random Commen with Id 12
13,2,4,180,3,Some Random Commen with Id 13
14,2,4,71,5,Some Random Commen with Id 14
15,3,7,28,2,Some Random Commen with Id 15
16,3,7,191,5,Some Random Commen with Id 16
17,4,2,68,0,Some Random Commen with Id 17
18,4,2,160,3,Some Random Commen with Id 18
19,4,2,10,0,Some Random Commen with Id 19
20,4,2,24,7,Some Random Commen with Id 20
21,4,2,106,2,Some Random Commen with Id 21
22,4,2,14,1,Some Random Commen with Id 22
23,4,2,95,3,Some Random Commen with Id 23
24,4,2,146,5,Some Random Commen with Id 24
25,4,2,184,8,Some Random Commen with Id 25
26,5,6,114,0,Some Random Commen with Id 26
27,5,6,93,0,Some Random Commen with Id 27
28,5,6,170,5,Some Random Commen with Id 28
29,5,6,21,7,Some Random Commen with Id 29
30,5,6,111,7,Some Random Commen with Id 30
31,5,6,95,4,Some Random Commen with Id 31
32,5,6,94,3,Some Random Commen with Id 32
33,6,1,151,4,Some Random Commen with Id 33
34,8,9,90,1,Some Random Commen with Id 34
35,8,9,171,7,Some Random Commen with Id 35
36,8,9,127,2,Some Random Commen with Id 36
37,8,9,146,4,Some Random Commen with Id 37
38,8,9,197,3,Some Random Commen with Id 38
39,8,9,15,4,Some Random Commen with Id 39
40,8,9,38,9,Some Random Commen with Id 40
41,9,3,134,0,Some Random Commen with Id 41
42,10,4,26,4,Some Random Commen with Id 42
43,10,4,129,7,Some Random Commen with Id 43
44,10,4,110,6,Some Random Commen with Id 44
45,10,4,14,4,Some Random Commen with Id 45
46,10,4,180,9,Some Random Commen with Id 46
47,10,4,186,6,Some Random Commen with Id 47
48,10,4,89,2,Some Random Commen with Id 48
49,10,4,98,9,Some Random Commen with Id 49
50,10,4,129,1,Some Random Commen with Id 50
51,11,5,123,1,Some Random Commen with Id 51
52,11,5,176,8,Some Random Commen with Id 52
53,11,5,167,7,Some Random Commen with Id 53
54,11,5,69,3,Some Random Commen with Id 54
55,12,3,62,6,Some Random Commen with Id 55
56,12,3,165,7,Some Random Commen with Id 56
57,12,3,129,9,Some Random Commen with Id 57
58,12,3,139,2,Some Random Commen with Id 58
59,12,3,75,7,Some Random Commen with Id 59
60,13,4,142,5,Some Random Commen with Id 60
61,13,4,189,6,Some Random Commen with Id 61
62,14,4,102,0,Some Random Commen with Id 62
63,14,4,196,4,Some Random Commen with Id 63
64,14,4,135,3,Some Random Commen with Id 64
65,14,4,170,1,Some Random Commen with Id 65
66,14,4,3,3,Some Random Commen with Id 66
67,15,1,128,8,Some Random Commen with Id 67
68,15,1,5,9,Some Random Commen with Id 68
69,15,1,60,6,Some Random Commen with Id 69
70,16,2,160,2,Some Random Commen with Id 70
71,16,2,146,8,Some Random Commen with Id 71
72,16,2,197,2,Some Random Commen with Id 72
73,16,2,76,7,Some Random Commen with Id 73
74,16,2,195,5,Some Random Commen with Id 74
75,16,2,81,6,Some Random Commen with Id 75
76,16,2,57,0,Some Random Commen with Id 76
77,16,2,141,7,Some Random Commen with Id 77
78,16,2,22,8,Some Random Commen with Id 78
79,17,1,158,8,Some Random Commen with Id 79
80,17,1,10,7,Some Random Commen with Id 80
81,19,3,188,5,Some Random Commen with Id 81
82,21,4,95,8,Some Random Commen with Id 82
83,21,4,29,8,Some Random Commen with Id 83
84,21,4,41,2,Some Random Commen with Id 84
85,21,4,103,6,Some Random Commen with Id 85
86,21,4,121,2,Some Random Commen with Id 86
87,21,4,134,5,Some Random Commen with Id 87
88,22,9,84,9,Some Random Commen with Id 88
89,22,9,117,8,Some Random Commen with Id 89
90,22,9,124,9,Some Random Commen with Id 90
91,23,0,152,9,Some Random Commen with Id 91
92,23,0,86,5,Some Random Commen with Id 92
93,23,0,152,5,Some Random Commen with Id 93
94,23,0,77,3,Some Random Commen with Id 94
95,23,0,109,6,Some Random Commen with Id 95
96,23,0,110,9,Some Random Commen with Id 96
97,23,0,27,9,Some Random Commen with Id 97
98,24,2,100,1,Some Random Commen with Id 98
99,24,2,156,4,Some Random Commen with Id 99
